"id","name","description","memo","type","parentGroupName","parentGroupId","parentName"
"T1896","Node 1896","Node 1896 description","Node 1896 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1897","Node 1897","Node 1897 description","Node 1897 memo","ROADM","Group 1","G1","Parent 1"
"T1898","Node 1898","Node 1898 description","Node 1898 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1899","Node 1899","Node 1899 description","Node 1899 memo","ROADM","Group 3","G3","Parent 3"
"T1900","Node 1900","Node 1900 description","Node 1900 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1901","Node 1901","Node 1901 description","Node 1901 memo","ROADM","Group 2","G2","Parent 2"
"T1902","Node 1902","Node 1902 description","Node 1902 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1903","Node 1903","Node 1903 description","Node 1903 memo","ROADM","Group 1","G1","Parent 1"
"T1904","Node 1904","Node 1904 description","Node 1904 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1905","Node 1905","Node 1905 description","Node 1905 memo","ROADM","Group 3","G3","Parent 3"
"T1906","Node 1906","Node 1906 description","Node 1906 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1907","Node 1907","Node 1907 description","Node 1907 memo","ROADM","Group 2","G2","Parent 2"
"T1908","Node 1908","Node 1908 description","Node 1908 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1909","Node 1909","Node 1909 description","Node 1909 memo","ROADM","Group 1","G1","Parent 1"
"T1910","Node 1910","Node 1910 description","Node 1910 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1911","Node 1911","Node 1911 description","Node 1911 memo","ROADM","Group 3","G3","Parent 3"
"T1912","Node 1912","Node 1912 description","Node 1912 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1913","Node 1913","Node 1913 description","Node 1913 memo","ROADM","Group 2","G2","Parent 2"
"T1914","Node 1914","Node 1914 description","Node 1914 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1915","Node 1915","Node 1915 description","Node 1915 memo","ROADM","Group 1","G1","Parent 1"
"T1916","Node 1916","Node 1916 description","Node 1916 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1917","Node 1917","Node 1917 description","Node 1917 memo","ROADM","Group 3","G3","Parent 3"
"T1918","Node 1918","Node 1918 description","Node 1918 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1919","Node 1919","Node 1919 description","Node 1919 memo","ROADM","Group 2","G2","Parent 2"
"T1920","Node 1920","Node 1920 description","Node 1920 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1921","Node 1921","Node 1921 description","Node 1921 memo","ROADM","Group 1","G1","Parent 1"
"T1922","Node 1922","Node 1922 description","Node 1922 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1923","Node 1923","Node 1923 description","Node 1923 memo","ROADM","Group 3","G3","Parent 3"
"T1924","Node 1924","Node 1924 description","Node 1924 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1925","Node 1925","Node 1925 description","Node 1925 memo","ROADM","Group 2","G2","Parent 2"
"T1926","Node 1926","Node 1926 description","Node 1926 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1927","Node 1927","Node 1927 description","Node 1927 memo","ROADM","Group 1","G1","Parent 1"
"T1928","Node 1928","Node 1928 description","Node 1928 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1929","Node 1929","Node 1929 description","Node 1929 memo","ROADM","Group 3","G3","Parent 3"
"T1930","Node 1930","Node 1930 description","Node 1930 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1931","Node 1931","Node 1931 description","Node 1931 memo","ROADM","Group 2","G2","Parent 2"
"T1932","Node 1932","Node 1932 description","Node 1932 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1933","Node 1933","Node 1933 description","Node 1933 memo","ROADM","Group 1","G1","Parent 1"
"T1934","Node 1934","Node 1934 description","Node 1934 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1935","Node 1935","Node 1935 description","Node 1935 memo","ROADM","Group 3","G3","Parent 3"
"T1936","Node 1936","Node 1936 description","Node 1936 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1937","Node 1937","Node 1937 description","Node 1937 memo","ROADM","Group 2","G2","Parent 2"
"T1938","Node 1938","Node 1938 description","Node 1938 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1939","Node 1939","Node 1939 description","Node 1939 memo","ROADM","Group 1","G1","Parent 1"
"T1940","Node 1940","Node 1940 description","Node 1940 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1941","Node 1941","Node 1941 description","Node 1941 memo","ROADM","Group 3","G3","Parent 3"
"T1942","Node 1942","Node 1942 description","Node 1942 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1943","Node 1943","Node 1943 description","Node 1943 memo","ROADM","Group 2","G2","Parent 2"
"T1944","Node 1944","Node 1944 description","Node 1944 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1945","Node 1945","Node 1945 description","Node 1945 memo","ROADM","Group 1","G1","Parent 1"
"T1946","Node 1946","Node 1946 description","Node 1946 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1947","Node 1947","Node 1947 description","Node 1947 memo","ROADM","Group 3","G3","Parent 3"
"T1948","Node 1948","Node 1948 description","Node 1948 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1949","Node 1949","Node 1949 description","Node 1949 memo","ROADM","Group 2","G2","Parent 2"
"T1950","Node 1950","Node 1950 description","Node 1950 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1951","Node 1951","Node 1951 description","Node 1951 memo","ROADM","Group 1","G1","Parent 1"
"T1952","Node 1952","Node 1952 description","Node 1952 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1953","Node 1953","Node 1953 description","Node 1953 memo","ROADM","Group 3","G3","Parent 3"
"T1954","Node 1954","Node 1954 description","Node 1954 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1955","Node 1955","Node 1955 description","Node 1955 memo","ROADM","Group 2","G2","Parent 2"
"T1956","Node 1956","Node 1956 description","Node 1956 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1957","Node 1957","Node 1957 description","Node 1957 memo","ROADM","Group 1","G1","Parent 1"
"T1958","Node 1958","Node 1958 description","Node 1958 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1959","Node 1959","Node 1959 description","Node 1959 memo","ROADM","Group 3","G3","Parent 3"
"T1960","Node 1960","Node 1960 description","Node 1960 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1961","Node 1961","Node 1961 description","Node 1961 memo","ROADM","Group 2","G2","Parent 2"
"T1962","Node 1962","Node 1962 description","Node 1962 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1963","Node 1963","Node 1963 description","Node 1963 memo","ROADM","Group 1","G1","Parent 1"
"T1964","Node 1964","Node 1964 description","Node 1964 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1965","Node 1965","Node 1965 description","Node 1965 memo","ROADM","Group 3","G3","Parent 3"
"T1966","Node 1966","Node 1966 description","Node 1966 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1967","Node 1967","Node 1967 description","Node 1967 memo","ROADM","Group 2","G2","Parent 2"
"T1968","Node 1968","Node 1968 description","Node 1968 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1969","Node 1969","Node 1969 description","Node 1969 memo","ROADM","Group 1","G1","Parent 1"
"T1970","Node 1970","Node 1970 description","Node 1970 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1971","Node 1971","Node 1971 description","Node 1971 memo","ROADM","Group 3","G3","Parent 3"
"T1972","Node 1972","Node 1972 description","Node 1972 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1973","Node 1973","Node 1973 description","Node 1973 memo","ROADM","Group 2","G2","Parent 2"
"T1974","Node 1974","Node 1974 description","Node 1974 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1975","Node 1975","Node 1975 description","Node 1975 memo","ROADM","Group 1","G1","Parent 1"
"T1976","Node 1976","Node 1976 description","Node 1976 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1977","Node 1977","Node 1977 description","Node 1977 memo","ROADM","Group 3","G3","Parent 3"
"T1978","Node 1978","Node 1978 description","Node 1978 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1979","Node 1979","Node 1979 description","Node 1979 memo","ROADM","Group 2","G2","Parent 2"
"T1980","Node 1980","Node 1980 description","Node 1980 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1981","Node 1981","Node 1981 description","Node 1981 memo","ROADM","Group 1","G1","Parent 1"
"T1982","Node 1982","Node 1982 description","Node 1982 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1983","Node 1983","Node 1983 description","Node 1983 memo","ROADM","Group 3","G3","Parent 3"
"T1984","Node 1984","Node 1984 description","Node 1984 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1985","Node 1985","Node 1985 description","Node 1985 memo","ROADM","Group 2","G2","Parent 2"
"T1986","Node 1986","Node 1986 description","Node 1986 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1987","Node 1987","Node 1987 description","Node 1987 memo","ROADM","Group 1","G1","Parent 1"
"T1988","Node 1988","Node 1988 description","Node 1988 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1989","Node 1989","Node 1989 description","Node 1989 memo","ROADM","Group 3","G3","Parent 3"
"T1990","Node 1990","Node 1990 description","Node 1990 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1991","Node 1991","Node 1991 description","Node 1991 memo","ROADM","Group 2","G2","Parent 2"
"T1992","Node 1992","Node 1992 description","Node 1992 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1993","Node 1993","Node 1993 description","Node 1993 memo","ROADM","Group 1","G1","Parent 1"
"T1994","Node 1994","Node 1994 description","Node 1994 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T1995","Node 1995","Node 1995 description","Node 1995 memo","ROADM","Group 3","G3","Parent 3"
"T1996","Node 1996","Node 1996 description","Node 1996 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T1997","Node 1997","Node 1997 description","Node 1997 memo","ROADM","Group 2","G2","Parent 2"
"T1998","Node 1998","Node 1998 description","Node 1998 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T1999","Node 1999","Node 1999 description","Node 1999 memo","ROADM","Group 1","G1","Parent 1"
"T2000","Node 2000","Node 2000 description","Node 2000 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2001","Node 2001","Node 2001 description","Node 2001 memo","ROADM","Group 3","G3","Parent 3"
"T2002","Node 2002","Node 2002 description","Node 2002 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2003","Node 2003","Node 2003 description","Node 2003 memo","ROADM","Group 2","G2","Parent 2"
"T2004","Node 2004","Node 2004 description","Node 2004 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2005","Node 2005","Node 2005 description","Node 2005 memo","ROADM","Group 1","G1","Parent 1"
"T2006","Node 2006","Node 2006 description","Node 2006 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2007","Node 2007","Node 2007 description","Node 2007 memo","ROADM","Group 3","G3","Parent 3"
"T2008","Node 2008","Node 2008 description","Node 2008 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2009","Node 2009","Node 2009 description","Node 2009 memo","ROADM","Group 2","G2","Parent 2"
"T2010","Node 2010","Node 2010 description","Node 2010 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2011","Node 2011","Node 2011 description","Node 2011 memo","ROADM","Group 1","G1","Parent 1"
"T2012","Node 2012","Node 2012 description","Node 2012 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2013","Node 2013","Node 2013 description","Node 2013 memo","ROADM","Group 3","G3","Parent 3"
"T2014","Node 2014","Node 2014 description","Node 2014 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2015","Node 2015","Node 2015 description","Node 2015 memo","ROADM","Group 2","G2","Parent 2"
"T2016","Node 2016","Node 2016 description","Node 2016 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2017","Node 2017","Node 2017 description","Node 2017 memo","ROADM","Group 1","G1","Parent 1"
"T2018","Node 2018","Node 2018 description","Node 2018 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2019","Node 2019","Node 2019 description","Node 2019 memo","ROADM","Group 3","G3","Parent 3"
"T2020","Node 2020","Node 2020 description","Node 2020 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2021","Node 2021","Node 2021 description","Node 2021 memo","ROADM","Group 2","G2","Parent 2"
"T2022","Node 2022","Node 2022 description","Node 2022 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2023","Node 2023","Node 2023 description","Node 2023 memo","ROADM","Group 1","G1","Parent 1"
"T2024","Node 2024","Node 2024 description","Node 2024 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2025","Node 2025","Node 2025 description","Node 2025 memo","ROADM","Group 3","G3","Parent 3"
"T2026","Node 2026","Node 2026 description","Node 2026 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2027","Node 2027","Node 2027 description","Node 2027 memo","ROADM","Group 2","G2","Parent 2"
"T2028","Node 2028","Node 2028 description","Node 2028 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2029","Node 2029","Node 2029 description","Node 2029 memo","ROADM","Group 1","G1","Parent 1"
"T2030","Node 2030","Node 2030 description","Node 2030 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2031","Node 2031","Node 2031 description","Node 2031 memo","ROADM","Group 3","G3","Parent 3"
"T2032","Node 2032","Node 2032 description","Node 2032 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2033","Node 2033","Node 2033 description","Node 2033 memo","ROADM","Group 2","G2","Parent 2"
"T2034","Node 2034","Node 2034 description","Node 2034 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2035","Node 2035","Node 2035 description","Node 2035 memo","ROADM","Group 1","G1","Parent 1"
"T2036","Node 2036","Node 2036 description","Node 2036 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2037","Node 2037","Node 2037 description","Node 2037 memo","ROADM","Group 3","G3","Parent 3"
"T2038","Node 2038","Node 2038 description","Node 2038 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2039","Node 2039","Node 2039 description","Node 2039 memo","ROADM","Group 2","G2","Parent 2"
"T2040","Node 2040","Node 2040 description","Node 2040 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2041","Node 2041","Node 2041 description","Node 2041 memo","ROADM","Group 1","G1","Parent 1"
"T2042","Node 2042","Node 2042 description","Node 2042 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2043","Node 2043","Node 2043 description","Node 2043 memo","ROADM","Group 3","G3","Parent 3"
"T2044","Node 2044","Node 2044 description","Node 2044 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2045","Node 2045","Node 2045 description","Node 2045 memo","ROADM","Group 2","G2","Parent 2"
"T2046","Node 2046","Node 2046 description","Node 2046 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2047","Node 2047","Node 2047 description","Node 2047 memo","ROADM","Group 1","G1","Parent 1"
"T2048","Node 2048","Node 2048 description","Node 2048 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2049","Node 2049","Node 2049 description","Node 2049 memo","ROADM","Group 3","G3","Parent 3"
"T2050","Node 2050","Node 2050 description","Node 2050 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2051","Node 2051","Node 2051 description","Node 2051 memo","ROADM","Group 2","G2","Parent 2"
"T2052","Node 2052","Node 2052 description","Node 2052 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2053","Node 2053","Node 2053 description","Node 2053 memo","ROADM","Group 1","G1","Parent 1"
"T2054","Node 2054","Node 2054 description","Node 2054 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2055","Node 2055","Node 2055 description","Node 2055 memo","ROADM","Group 3","G3","Parent 3"
"T2056","Node 2056","Node 2056 description","Node 2056 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2057","Node 2057","Node 2057 description","Node 2057 memo","ROADM","Group 2","G2","Parent 2"
"T2058","Node 2058","Node 2058 description","Node 2058 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2059","Node 2059","Node 2059 description","Node 2059 memo","ROADM","Group 1","G1","Parent 1"
"T2060","Node 2060","Node 2060 description","Node 2060 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2061","Node 2061","Node 2061 description","Node 2061 memo","ROADM","Group 3","G3","Parent 3"
"T2062","Node 2062","Node 2062 description","Node 2062 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2063","Node 2063","Node 2063 description","Node 2063 memo","ROADM","Group 2","G2","Parent 2"
"T2064","Node 2064","Node 2064 description","Node 2064 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2065","Node 2065","Node 2065 description","Node 2065 memo","ROADM","Group 1","G1","Parent 1"
"T2066","Node 2066","Node 2066 description","Node 2066 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2067","Node 2067","Node 2067 description","Node 2067 memo","ROADM","Group 3","G3","Parent 3"
"T2068","Node 2068","Node 2068 description","Node 2068 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2069","Node 2069","Node 2069 description","Node 2069 memo","ROADM","Group 2","G2","Parent 2"
"T2070","Node 2070","Node 2070 description","Node 2070 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2071","Node 2071","Node 2071 description","Node 2071 memo","ROADM","Group 1","G1","Parent 1"
"T2072","Node 2072","Node 2072 description","Node 2072 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2073","Node 2073","Node 2073 description","Node 2073 memo","ROADM","Group 3","G3","Parent 3"
"T2074","Node 2074","Node 2074 description","Node 2074 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2075","Node 2075","Node 2075 description","Node 2075 memo","ROADM","Group 2","G2","Parent 2"
"T2076","Node 2076","Node 2076 description","Node 2076 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2077","Node 2077","Node 2077 description","Node 2077 memo","ROADM","Group 1","G1","Parent 1"
"T2078","Node 2078","Node 2078 description","Node 2078 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2079","Node 2079","Node 2079 description","Node 2079 memo","ROADM","Group 3","G3","Parent 3"
"T2080","Node 2080","Node 2080 description","Node 2080 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2081","Node 2081","Node 2081 description","Node 2081 memo","ROADM","Group 2","G2","Parent 2"
"T2082","Node 2082","Node 2082 description","Node 2082 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2083","Node 2083","Node 2083 description","Node 2083 memo","ROADM","Group 1","G1","Parent 1"
"T2084","Node 2084","Node 2084 description","Node 2084 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2085","Node 2085","Node 2085 description","Node 2085 memo","ROADM","Group 3","G3","Parent 3"
"T2086","Node 2086","Node 2086 description","Node 2086 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2087","Node 2087","Node 2087 description","Node 2087 memo","ROADM","Group 2","G2","Parent 2"
"T2088","Node 2088","Node 2088 description","Node 2088 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2089","Node 2089","Node 2089 description","Node 2089 memo","ROADM","Group 1","G1","Parent 1"
"T2090","Node 2090","Node 2090 description","Node 2090 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2091","Node 2091","Node 2091 description","Node 2091 memo","ROADM","Group 3","G3","Parent 3"
"T2092","Node 2092","Node 2092 description","Node 2092 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2093","Node 2093","Node 2093 description","Node 2093 memo","ROADM","Group 2","G2","Parent 2"
"T2094","Node 2094","Node 2094 description","Node 2094 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2095","Node 2095","Node 2095 description","Node 2095 memo","ROADM","Group 1","G1","Parent 1"
"T2096","Node 2096","Node 2096 description","Node 2096 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2097","Node 2097","Node 2097 description","Node 2097 memo","ROADM","Group 3","G3","Parent 3"
"T2098","Node 2098","Node 2098 description","Node 2098 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2099","Node 2099","Node 2099 description","Node 2099 memo","ROADM","Group 2","G2","Parent 2"
"T2100","Node 2100","Node 2100 description","Node 2100 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2101","Node 2101","Node 2101 description","Node 2101 memo","ROADM","Group 1","G1","Parent 1"
"T2102","Node 2102","Node 2102 description","Node 2102 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2103","Node 2103","Node 2103 description","Node 2103 memo","ROADM","Group 3","G3","Parent 3"
"T2104","Node 2104","Node 2104 description","Node 2104 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2105","Node 2105","Node 2105 description","Node 2105 memo","ROADM","Group 2","G2","Parent 2"
"T2106","Node 2106","Node 2106 description","Node 2106 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2107","Node 2107","Node 2107 description","Node 2107 memo","ROADM","Group 1","G1","Parent 1"
"T2108","Node 2108","Node 2108 description","Node 2108 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2109","Node 2109","Node 2109 description","Node 2109 memo","ROADM","Group 3","G3","Parent 3"
"T2110","Node 2110","Node 2110 description","Node 2110 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2111","Node 2111","Node 2111 description","Node 2111 memo","ROADM","Group 2","G2","Parent 2"
"T2112","Node 2112","Node 2112 description","Node 2112 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2113","Node 2113","Node 2113 description","Node 2113 memo","ROADM","Group 1","G1","Parent 1"
"T2114","Node 2114","Node 2114 description","Node 2114 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2115","Node 2115","Node 2115 description","Node 2115 memo","ROADM","Group 3","G3","Parent 3"
"T2116","Node 2116","Node 2116 description","Node 2116 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2117","Node 2117","Node 2117 description","Node 2117 memo","ROADM","Group 2","G2","Parent 2"
"T2118","Node 2118","Node 2118 description","Node 2118 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2119","Node 2119","Node 2119 description","Node 2119 memo","ROADM","Group 1","G1","Parent 1"
"T2120","Node 2120","Node 2120 description","Node 2120 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2121","Node 2121","Node 2121 description","Node 2121 memo","ROADM","Group 3","G3","Parent 3"
"T2122","Node 2122","Node 2122 description","Node 2122 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2123","Node 2123","Node 2123 description","Node 2123 memo","ROADM","Group 2","G2","Parent 2"
"T2124","Node 2124","Node 2124 description","Node 2124 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2125","Node 2125","Node 2125 description","Node 2125 memo","ROADM","Group 1","G1","Parent 1"
"T2126","Node 2126","Node 2126 description","Node 2126 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2127","Node 2127","Node 2127 description","Node 2127 memo","ROADM","Group 3","G3","Parent 3"
"T2128","Node 2128","Node 2128 description","Node 2128 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2129","Node 2129","Node 2129 description","Node 2129 memo","ROADM","Group 2","G2","Parent 2"
"T2130","Node 2130","Node 2130 description","Node 2130 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2131","Node 2131","Node 2131 description","Node 2131 memo","ROADM","Group 1","G1","Parent 1"
"T2132","Node 2132","Node 2132 description","Node 2132 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2133","Node 2133","Node 2133 description","Node 2133 memo","ROADM","Group 3","G3","Parent 3"
"T2134","Node 2134","Node 2134 description","Node 2134 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2135","Node 2135","Node 2135 description","Node 2135 memo","ROADM","Group 2","G2","Parent 2"
"T2136","Node 2136","Node 2136 description","Node 2136 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2137","Node 2137","Node 2137 description","Node 2137 memo","ROADM","Group 1","G1","Parent 1"
"T2138","Node 2138","Node 2138 description","Node 2138 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2139","Node 2139","Node 2139 description","Node 2139 memo","ROADM","Group 3","G3","Parent 3"
"T2140","Node 2140","Node 2140 description","Node 2140 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2141","Node 2141","Node 2141 description","Node 2141 memo","ROADM","Group 2","G2","Parent 2"
"T2142","Node 2142","Node 2142 description","Node 2142 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2143","Node 2143","Node 2143 description","Node 2143 memo","ROADM","Group 1","G1","Parent 1"
"T2144","Node 2144","Node 2144 description","Node 2144 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2145","Node 2145","Node 2145 description","Node 2145 memo","ROADM","Group 3","G3","Parent 3"
"T2146","Node 2146","Node 2146 description","Node 2146 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2147","Node 2147","Node 2147 description","Node 2147 memo","ROADM","Group 2","G2","Parent 2"
"T2148","Node 2148","Node 2148 description","Node 2148 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2149","Node 2149","Node 2149 description","Node 2149 memo","ROADM","Group 1","G1","Parent 1"
"T2150","Node 2150","Node 2150 description","Node 2150 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2151","Node 2151","Node 2151 description","Node 2151 memo","ROADM","Group 3","G3","Parent 3"
"T2152","Node 2152","Node 2152 description","Node 2152 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2153","Node 2153","Node 2153 description","Node 2153 memo","ROADM","Group 2","G2","Parent 2"
"T2154","Node 2154","Node 2154 description","Node 2154 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2155","Node 2155","Node 2155 description","Node 2155 memo","ROADM","Group 1","G1","Parent 1"
"T2156","Node 2156","Node 2156 description","Node 2156 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2157","Node 2157","Node 2157 description","Node 2157 memo","ROADM","Group 3","G3","Parent 3"
"T2158","Node 2158","Node 2158 description","Node 2158 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2159","Node 2159","Node 2159 description","Node 2159 memo","ROADM","Group 2","G2","Parent 2"
"T2160","Node 2160","Node 2160 description","Node 2160 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2161","Node 2161","Node 2161 description","Node 2161 memo","ROADM","Group 1","G1","Parent 1"
"T2162","Node 2162","Node 2162 description","Node 2162 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2163","Node 2163","Node 2163 description","Node 2163 memo","ROADM","Group 3","G3","Parent 3"
"T2164","Node 2164","Node 2164 description","Node 2164 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2165","Node 2165","Node 2165 description","Node 2165 memo","ROADM","Group 2","G2","Parent 2"
"T2166","Node 2166","Node 2166 description","Node 2166 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2167","Node 2167","Node 2167 description","Node 2167 memo","ROADM","Group 1","G1","Parent 1"
"T2168","Node 2168","Node 2168 description","Node 2168 memo","TRANSPONDER","Group 2","G2","Parent 2"
"T2169","Node 2169","Node 2169 description","Node 2169 memo","ROADM","Group 3","G3","Parent 3"
"T2170","Node 2170","Node 2170 description","Node 2170 memo","TRANSPONDER","Group 1","G1","Parent 1"
"T2171","Node 2171","Node 2171 description","Node 2171 memo","ROADM","Group 2","G2","Parent 2"
"T2172","Node 2172","Node 2172 description","Node 2172 memo","TRANSPONDER","Group 3","G3","Parent 3"
"T2173","Node 2173","Node 2173 description","Node 2173 memo","ROADM","Group 1","G1","Parent 1"
"T2174","Node 2174","Node 2174 description","Node 2174 memo","TRANSPONDER","Group 2","G2","Parent 2"
